"Fertility, by age, by state",,,,,,
Measure: Births,,,,,,
Frequency: Annual,,,,,,
Unit of measure: Number,,,,,,
,,,,,,
Time Period,Time Period,2020,2021,2022,2023,2024
·  Victoria,,189,168,206,222,232
·  Queensland,,112,115,145,134,130
·  South Australia,,45,38,36,45,49
·  Western Australia,,65,62,64,76,75
·  Tasmania,,14,9,14,9,13
·  Northern Territory,,12,6,7,5,7
·  Australian Capital Territory,,13,11,19,18,13
Age: 45-49,,,,,,
Australia,,1008,682,881,1013,1166
·  New South Wales,,347,228,318,309,350
·  Victoria,,291,195,257,333,429
·  Queensland,,158,124,140,170,172
·  South Australia,,74,63,57,60,63
·  Western Australia,,90,52,70,105,108
·  Tasmania,,15,7,17,14,7
·  Northern Territory,,9,3,9,1,17
·  Australian Capital Territory,,24,11,13,18,20
Age: 45,,,,,,
Australia,,408,322,378,375,446
·  New South Wales,,139,111,125,124,149
·  Victoria,,118,96,111,115,144
·  Queensland,,65,56,75,64,68
·  South Australia,,35,27,21,25,22
·  Western Australia,,33,27,30,37,46
·  Tasmania,,6,3,7,1,1
·  Northern Territory,,5,0,2,2,2
·  Australian Capital Territory,,7,3,6,3,10
Age: 46,,,,,,
Australia,,226,160,184,226,244
·  New South Wales,,75,50,65,63,64
·  Victoria,,71,37,53,69,101
·  Queensland,,32,37,26,49,33
·  South Australia,,16,14,14,11,12
·  Western Australia,,23,12,20,24,24
·  Tasmania,,1,1,1,1,1
·  Northern Territory,,0,4,1,2,2
·  Australian Capital Territory,,6,5,1,6,5
Age: 47,,,,,,
Australia,,146,77,126,162,162
·  New South Wales,,52,19,50,44,52
·  Victoria,,37,26,37,65,51
·  Queensland,,25,13,14,22,30
·  South Australia,,6,9,15,14,11
·  Western Australia,,16,6,3,12,13
·  Tasmania,,2,0,4,3,3
·  Northern Territory,,1,0,3,0,3
·  Australian Capital Territory,,1,1,3,2,2
Age: 48,,,,,,
Australia,,78,41,89,82,93
·  New South Wales,,22,20,38,27,26
·  Victoria,,22,9,23,28,39
·  Queensland,,17,7,8,8,9
·  South Australia,,8,2,1,4,9
·  Western Australia,,7,3,9,13,6
·  Tasmania,,0,0,5,0,1
·  Northern Territory,,0,0,1,0,0
·  Australian Capital Territory,,2,0,4,4,4
Age: 49,,,,,,
Australia,,150,82,104,168,221
·  New South Wales,,59,28,40,51,59
·  Victoria,,43,27,33,56,94
·  Queensland,,19,11,17,27,32
·  South Australia,,9,9,2,6,9
·  Western Australia,,11,6,7,19,19
·  Tasmania,,1,2,2,6,0
·  Northern Territory,,0,0,0,0,6
·  Australian Capital Territory,,6,0,4,2,2
