"Fertility, by age, by state",,,,,,,,,,,
Measure: Births,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,
,,,,,,,,,,,
Time Period,Time Period,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Region,,,,,,,,,,,
Age: All ages,,,,,,,,,,,
Australia,,5647,6087,6544,6783,7178,7502,7856,8507,8556,8869
·  New South Wales,,2067,2147,2412,2368,2514,2591,2842,3028,2921,3141
·  Victoria,,1551,1723,1804,1858,1970,1972,2018,2267,2270,2352
·  Queensland,,851,923,1009,1054,1150,1196,1318,1401,1419,1417
·  South Australia,,383,401,473,580,565,599,568,632,697,627
·  Western Australia,,524,575,533,590,638,745,700,775,824,876
·  Tasmania,,102,130,144,139,150,178,156,143,179,204
·  Northern Territory,,64,80,66,73,71,77,99,92,93,94
·  Australian Capital Territory,,105,108,103,121,120,144,153,169,151,157
Age: 37,,,,,,,,,,,
Australia,,4173,4369,4890,4922,5512,5744,6094,6316,6634,6917
·  New South Wales,,1507,1548,1755,1762,1947,2125,2121,2248,2300,2473
·  Victoria,,1129,1218,1347,1308,1477,1512,1625,1722,1762,1803
·  Queensland,,654,669,770,765,862,867,992,1005,1137,1137
·  South Australia,,279,296,362,376,444,468,487,512,492,502
·  Western Australia,,371,401,421,482,510,480,572,570,626,670
·  Tasmania,,89,94,97,101,112,121,99,105,136,128
·  Northern Territory,,53,55,60,50,59,66,74,45,62,72
·  Australian Capital Territory,,91,88,78,78,100,102,123,106,118,130
Age: 38,,,,,,,,,,,
Australia,,3096,3364,3521,3809,3922,4239,4525,4804,4843,5206
·  New South Wales,,1067,1202,1273,1343,1375,1513,1678,1755,1688,1885
·  Victoria,,895,947,992,989,1099,1066,1137,1245,1294,1351
·  Queensland,,498,492,532,605,611,692,728,748,741,824
·  South Australia,,183,228,250,325,319,368,345,395,374,424
·  Western Australia,,287,322,295,367,336,381,426,460,460,462
·  Tasmania,,71,71,69,71,81,102,82,78,119,93
·  Northern Territory,,32,39,40,35,39,32,37,51,63,52
·  Australian Capital Territory,,63,63,70,72,62,84,91,70,103,111
Age: 39,,,,,,,,,,,
Australia,,2117,2274,2491,2625,2929,2975,3225,3304,3620,3672
·  New South Wales,,814,859,917,949,1077,1006,1205,1227,1306,1354
·  Victoria,,552,612,652,650,756,839,809,867,959,939
·  Queensland,,313,305,362,435,444,467,500,506,557,619
·  South Australia,,132,159,187,206,235,246,275,251,283,256
·  Western Australia,,195,199,236,246,263,289,277,301,363,330
·  Tasmania,,44,52,55,60,52,56,67,66,56,62
·  Northern Territory,,20,24,32,31,41,27,34,32,35,42
·  Australian Capital Territory,,47,64,50,46,61,45,58,54,60,70
Age: 40-44,,,,,,,,,,,
Australia,,3396,3486,3943,4092,4400,4797,5072,5181,5632,6060
·  New South Wales,,1263,1275,1450,1497,1587,1743,1848,1876,2051,2240
·  Victoria,,921,947,1054,1094,1183,1239,1294,1371,1457,1567
·  Queensland,,508,547,591,617,675,748,817,814,862,932
·  South Australia,,223,214,291,342,355,425,439,418,479,508
·  Western Australia,,309,332,364,349,395,407,411,457,515,520
·  Tasmania,,70,69,75,74,86,103,114,93,110,109
·  Northern Territory,,39,30,46,44,42,51,42,64,53,69
·  Australian Capital Territory,,63,72,72,75,76,81,104,86,105,114
Age: 40,,,,,,,,,,,
Australia,,1545,1464,1739,1806,1941,2004,2144,2208,2396,2605
·  New South Wales,,567,534,635,676,699,723,774,802,887,925
·  Victoria,,442,412,456,496,535,520,541,618,648,667
·  Queensland,,227,203,265,268,313,312,339,346,347,433
·  South Australia,,107,92,134,130,147,185,179,161,182,220
·  Western Australia,,139,144,164,151,161,180,184,180,213,229
·  Tasmania,,27,32,34,33,36,41,60,35,52,57
·  Northern Territory,,11,16,22,23,18,14,15,28,25,23
·  Australian Capital Territory,,25,31,29,29,32,29,50,38,42,51
Age: 41,,,,,,,,,,,
Australia,,890,929,1060,1056,1171,1327,1375,1417,1526,1650
·  New South Wales,,339,331,416,365,420,463,547,526,507,617
·  Victoria,,228,247,290,294,294,343,319,360,394,424
·  Queensland,,142,155,135,142,182,211,227,220,254,244
·  South Australia,,54,69,78,105,98,120,117,117,163,145
·  Western Australia,,73,82,94,101,120,112,102,122,131,138
·  Tasmania,,20,16,20,17,23,30,22,30,30,24
·  Northern Territory,,14,5,13,12,14,21,18,16,13,24
·  Australian Capital Territory,,20,24,14,20,19,27,22,24,34,33
Age: 42,,,,,,,,,,,
Australia,,539,570,610,672,732,800,852,840,963,990
·  New South Wales,,206,212,214,233,260,297,307,293,366,376
·  Victoria,,135,145,169,181,199,214,246,211,238,260
·  Queensland,,83,97,93,111,107,132,127,134,143,138
·  South Australia,,37,32,36,56,66,59,70,72,75,90
·  Western Australia,,46,59,58,57,65,59,67,86,97,87
·  Tasmania,,13,10,17,12,17,17,20,16,18,14
·  Northern Territory,,9,6,5,5,9,7,6,13,8,11
·  Australian Capital Territory,,10,9,18,17,9,15,9,15,18,14
Age: 43,,,,,,,,,,,
Australia,,311,359,351,377,386,461,460,488,534,545
·  New South Wales,,117,146,123,146,151,193,142,167,215,213
·  Victoria,,82,95,91,91,102,109,117,118,115,153
·  Queensland,,38,58,61,63,49,55,81,85,89,74
·  South Australia,,17,14,28,39,25,38,50,52,42,33
·  Western Australia,,39,35,34,22,39,41,42,47,56,45
·  Tasmania,,8,7,1,7,8,10,8,8,2,11
·  Northern Territory,,5,1,5,3,0,7,2,3,2,6
·  Australian Capital Territory,,5,4,6,6,12,8,17,7,9,10
Age: 44,,,,,,,,,,,
Australia,,111,164,183,181,170,205,241,228,213,270
·  New South Wales,,34,52,62,77,57,67,78,88,76,109
·  Victoria,,34,48,48,32,53,53,71,64,62,63
·  Queensland,,18,34,37,33,24,38,43,29,29,43
·  South Australia,,8,7,15,12,19,23,23,16,17,20
·  Western Australia,,12,12,14,18,10,15,16,22,18,21
·  Tasmania,,3,2,2,5,2,5,4,2,6,2
·  Northern Territory,,0,3,2,4,2,3,0,4,3,5
·  Australian Capital Territory,,1,6,5,3,3,2,6,3,4,6
Age: 45-49,,,,,,,,,,,
